,Country/Region,Lat,Long
0,Thailand,15.0,101.0
1,Japan,36.0,138.0
2,Singapore,1.2833,103.8333
3,Nepal,28.1667,84.25
4,Malaysia,2.5,112.5
5,Cambodia,11.55,104.9167
6,Sri Lanka,7.0,81.0
7,Germany,51.0,9.0
8,Finland,64.0,26.0
9,United Arab Emirates,24.0,54.0
10,Philippines,13.0,122.0
11,India,21.0,78.0
12,Italy,43.0,12.0
13,Sweden,63.0,16.0
14,Spain,40.0,-4.0
15,Belgium,50.8333,4.0
16,Egypt,26.0,30.0
17,Lebanon,33.8547,35.8623
18,Iraq,33.0,44.0
19,Oman,21.0,57.0
20,Afghanistan,33.0,65.0
21,Bahrain,26.0275,50.55
22,Kuwait,29.5,47.75
23,Algeria,28.0339,1.6596
24,Croatia,45.1,15.2
25,Switzerland,46.8182,8.2275
26,Austria,47.5162,14.5501
27,Israel,31.0,35.0
28,Pakistan,30.3753,69.3451
29,Brazil,-14.235,-51.9253
30,Georgia,42.3154,43.3569
31,Greece,39.0742,21.8243
32,North Macedonia,41.6086,21.7453
33,Norway,60.472,8.4689
34,Romania,45.9432,24.9668
35,Estonia,58.5953,25.0136
36,San Marino,43.9424,12.4578
37,Belarus,53.7098,27.9534
38,Iceland,64.9631,-19.0208
39,Lithuania,55.1694,23.8813
40,Mexico,23.6345,-102.5528
41,New Zealand,-40.9006,174.886
42,Nigeria,9.082,8.6753
43,Ireland,53.1424,-7.6921
44,Luxembourg,49.8153,6.1296
45,Monaco,43.7333,7.4167
46,Qatar,25.3548,51.1839
47,Ecuador,-1.8312,-78.1834
48,Azerbaijan,40.1431,47.5769
49,Armenia,40.0691,45.0382
50,Dominican Republic,18.7357,-70.1627
51,Indonesia,-0.7893,113.9213
52,Portugal,39.3999,-8.2245
53,Andorra,42.5063,1.5218
54,Latvia,56.8796,24.6032
55,Morocco,31.7917,-7.0926
56,Saudi Arabia,24.0,45.0
57,Senegal,14.4974,-14.4524
58,Argentina,-38.4161,-63.6167
59,Chile,-35.6751,-71.543
60,Jordan,31.24,36.51
61,Ukraine,48.3794,31.1656
62,Hungary,47.1625,19.5033
63,Liechtenstein,47.14,9.55
64,Poland,51.9194,19.1451
65,Tunisia,34.0,9.0
66,Bosnia and Herzegovina,43.9159,17.6791
67,Slovenia,46.1512,14.9955
68,South Africa,-30.5595,22.9375
69,Bhutan,27.5142,90.4336
70,Cameroon,3.8480000000000003,11.5021
71,Colombia,4.5709,-74.2973
72,Costa Rica,9.7489,-83.7534
73,Peru,-9.19,-75.0152
74,Serbia,44.0165,21.0059
75,Slovakia,48.669,19.699
76,Togo,8.6195,0.8248
77,Malta,35.9375,14.3754
78,Martinique,14.6415,-61.0242
79,Bulgaria,42.7339,25.4858
80,Maldives,3.2028,73.2207
81,Bangladesh,23.685,90.3563
82,Paraguay,-23.4425,-58.4438
83,Albania,41.1533,20.1683
84,Cyprus,35.1264,33.4299
85,Brunei,4.5353,114.7277
86,Burkina Faso,12.2383,-1.5616
87,Holy See,41.9029,12.4534
88,Mongolia,46.8625,103.8467
89,Panama,8.538,-80.7821
90,Iran,32.0,53.0
91,"Korea, South",36.0,128.0
92,Cruise Ship,35.4437,139.638
93,Czechia,49.8175,15.472999999999999
94,Taiwan*,23.7,121.0
