,Province/State_noquotes
0,British Columbia
1,New South Wales
2,Victoria
3,Queensland
4,South Australia
5,From Diamond Princess
6,Western Australia
7,Tasmania
8,Northern Territory
9,Ontario
10,Alberta
11,Quebec
12,Washington
13,New York
14,California
15,Massachusetts
16,Georgia
17,Colorado
18,Florida
19,New Jersey
20,Oregon
21,Texas
22,Illinois
23,Pennsylvania
24,Iowa
25,Maryland
26,North Carolina
27,South Carolina
28,Tennessee
29,Virginia
30,Arizona
31,Indiana
32,Kentucky
33,District of Columbia
34,Nevada
35,New Hampshire
36,Minnesota
37,Nebraska
38,Ohio
39,Rhode Island
40,Wisconsin
41,Connecticut
42,Hawaii
43,Oklahoma
44,Utah
45,Kansas
46,Louisiana
47,Missouri
48,Vermont
49,Alaska
50,Arkansas
51,Delaware
52,Idaho
53,Maine
54,Michigan
55,Mississippi
56,Montana
57,New Mexico
58,North Dakota
59,South Dakota
60,West Virginia
61,Wyoming
62,Hubei
63,France
64,Guangdong
65,Henan
66,Zhejiang
67,Hunan
68,Anhui
69,Jiangxi
70,Shandong
71,Diamond Princess
72,Jiangsu
73,Chongqing
74,Sichuan
75,Heilongjiang
76,Denmark
77,Beijing
78,Shanghai
79,Hebei
80,Fujian
81,Guangxi
82,Shaanxi
83,Yunnan
84,Hainan
85,Guizhou
86,Tianjin
87,Shanxi
88,Gansu
89,Hong Kong
90,Liaoning
91,Jilin
92,Xinjiang
93,Inner Mongolia
94,Ningxia
95,Qinghai
96,Macau
97,Faroe Islands
98,St Martin
99,Channel Islands
100,New Brunswick
101,Tibet
102,Saint Barthelemy
103,Gibraltar
104,"Kitsap, WA"
105,"Solano, CA"
106,"Santa Cruz, CA"
107,"Napa, CA"
108,"Ventura, CA"
109,"Worcester, MA"
110,"Gwinnett, GA"
111,"DeKalb, GA"
112,"Floyd, GA"
113,"Fayette, GA"
114,"Gregg, TX"
115,"Monmouth, NJ"
116,"Burlington, NJ"
117,"Camden, NJ"
118,"Passaic, NJ"
119,"Union, NJ"
120,"Eagle, CO"
121,"Larimer, CO"
122,"Arapahoe, CO"
123,"Gunnison, CO"
124,"Kane, IL"
125,"Monroe, PA"
126,"Philadelphia, PA"
127,"Norfolk, VA"
128,"Arlington, VA"
129,"Spotsylvania, VA"
130,"Loudoun, VA"
131,"Prince George's, MD"
132,"Pottawattamie, IA"
133,"Camden, NC"
134,"Pima, AZ"
135,"Noble, IN"
136,"Adams, IN"
137,"Boone, IN"
138,"Dane, WI"
139,"Pierce, WI"
140,"Cuyahoga, OH"
141,"Weber, UT"
142,"Bennington County, VT"
143,"Carver County, MN"
144,"Charlotte County, FL"
145,"Cherokee County, GA"
146,"Collin County, TX"
147,"Jefferson County, KY"
148,"Jefferson Parish, LA"
149,"Shasta County, CA"
150,"Spartanburg County, SC"
151,"Harrison County, KY"
152,"Johnson County, IA"
153,"Berkshire County, MA"
154,"Davidson County, TN"
155,"Douglas County, OR"
156,"Fresno County, CA"
157,"Harford County, MD"
158,"Hendricks County, IN"
159,"Hudson County, NJ"
160,"Johnson County, KS"
161,"Kittitas County, WA"
162,"Manatee County, FL"
163,"Marion County, OR"
164,"Okaloosa County, FL"
165,"Polk County, GA"
166,"Riverside County, CA"
167,"Shelby County, TN"
168,"St. Louis County, MO"
169,"Suffolk County, NY"
170,"Ulster County, NY"
171,"Volusia County, FL"
172,"Fairfax County, VA"
173,"Rockingham County, NH"
174,"Washington, D.C."
175,"Montgomery County, PA"
176,"Alameda County, CA"
177,"Broward County, FL"
178,"Lee County, FL"
179,"Pinal County, AZ"
180,"Rockland County, NY"
181,"Saratoga County, NY"
182,"Charleston County, SC"
183,"Clark County, WA"
184,"Cobb County, GA"
185,"Davis County, UT"
186,"El Paso County, CO"
187,"Honolulu County, HI"
188,"Jackson County, OR "
189,"Jefferson County, WA"
190,"Kershaw County, SC"
